Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_noncat_accuracy
#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373563,0.965796562215375,0.5858373312810143,0.629417263745622,0.045002712967986976,0.09278350515463918,0.27306227618014106,0.5482648203823619
#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373563,0.965796562215375,0.5858373312810143,0.629417263745622,0.045002712967986976,0.09278350515463918,0.27306227618014106,0.5482648203823619
attraction,1.0,0.9386869234943027,1.0,0.9386869234943027,0.9829083016820401,1.0,0.9829083016820401,0.32594417077175697,0.47174020823004464,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.0
bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
hotel,1.0,0.9666259666259667,1.0,0.9666259666259667,0.9712386379053046,0.9742233075566409,0.9811423144756478,0.4779297106915924,0.40958576116803963,0.49967153710487044,0.5037308370641704,0.8752911409578077,0.7849322879543834
restaurant,1.0,0.9670374389582203,1.0,0.9670374389582203,0.8100922409115573,0.8109061313076505,0.8913456321215409,0.8233655510866147,0.7481610530391019,0.4635464186231687,0.5488334237655995,0.6624649916125339,0.9169015039447732
taxi,1.0,0.9928106348345089,1.0,0.9928106348345089,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.38321261682242985,,0.5795325576436468,,0.5795325576436468,0.38321261682242985
train,1.0,0.9532013022246337,1.0,0.9532013022246337,0.9158979924036896,0.9210526315789473,0.9397721106890938,0.7075597175141243,0.8101097533378593,0.3241055881728161,0.4540151926207271,0.7124264881456863,0.35888976069046685
